Pays;Pourcentage de population urbaine;Croissance annuelle du PIB par habitant en %;PIB par habitant en US$;Stabilité politique;Émissions de CO2 par personne imputables à l'élevage;Densité des poulets dans la superficie agricole par habitant;Part des poulets dans l'élevage en %;Taux de dépendance aux importations de viande de volaille en %;Taux d'autosuffisance en viande de volaille en %
Inde;36.0371378020567;3.37815;2486.512422;-0.635076940059662;0.36;0.05;4.52;0.0;100.07906700929037
Indonésie;58.31046407482097;3.07708;4876.314336;-0.404375314712524;0.22;0.67;66.62;0.0;100.17833259028089
Iran (République islamique d');72.9943315491744;-0.316066;4432.204125;-1.6941009759903;0.31;0.22;45.81;3.173121791880541;96.96686887540831
Iraq;71.28319446074171;-14.097244;5149.465181;-2.41309809684753;0.14;0.15;33.97;74.82014388489209;25.179856115107913
Islande;85.07320194654736;6.857072;80827.016782;1.21440374851227;1.05;0.0;1.49;25.0;83.33333333333334
Israël;91.2442901137537;-4.279311;55487.648843;-1.46484839916229;0.14;0.9;52.32;0.0;100.8888888888889
Jamaïque;59.16896554881248;13.576073;6839.72545;0.384837329387665;0.2;0.34;39.74;15.853658536585366;84.14634146341463
Jordanie;84.25479969644765;2.769769;4442.057345;-0.20273420214653;0.1;0.41;49.07;23.0188679245283;81.13207547169812
Kazakhstan;55.22253599883208;15.50134;13000.068139;-0.27334600687027;1.02;0.0;4.95;34.66386554621849;71.84873949579831
Kenya;30.617044738175796;-7.454542;1952.304584;-0.937771916389465;0.93;0.02;3.25;1.0526315789473684;98.94736842105263
Kirghizistan;34.914404660991785;13.34902;1977.464809;-0.48121976852417;0.81;0.01;2.6;87.09677419354838;22.58064516129032
Kiribati;55.957141779219796;5.214015;2177.692832;1.09988939762115;0.08;0.19;68.14;66.66666666666666;33.33333333333333
Koweït;92.66584028790716;-15.585897;33831.800772;0.408179193735123;0.11;4.02;82.05;71.34831460674157;34.26966292134831
Lesotho;31.70166024074702;-11.051332;916.28297;-0.30576080083847;0.5;0.0;0.95;100.0;0.0
Lettonie;67.22156230676222;11.044576;22443.656948;0.591089129447937;0.67;0.03;16.12;75.40983606557377;60.65573770491803
Liban;89.5756866770255;2.356195;4756.826359;-1.51903915405273;0.11;1.02;79.23;8.461538461538462;93.84615384615384
Libye;77.01652924123614;0.671482;6026.824081;-2.1680154800415;0.4;0.02;22.99;42.35807860262008;57.20524017467249
Libéria;53.59773137999767;8.059545;917.387323;-0.1162094399333;0.06;0.04;37.31;21.052631578947366;78.94736842105263
Lituanie;67.7352117077929;10.863258;27956.240276;0.742111504077911;0.75;0.03;15.75;72.5;107.5
Macédoine du Nord;67.848763130513;13.664105;8605.529551;0.170306503772736;0.44;0.01;7.61;97.5609756097561;4.878048780487805
Madagascar;38.92102662616395;1.033511;508.71842;-0.690745651721954;0.39;0.01;9.06;0.0;100.0
Malaisie;76.4859650168657;-3.017015;11377.477082;0.16851469874382;0.1;0.37;77.99;13.069741900054915;89.62108731466228
Malawi;19.093470287496277;-1.439987;598.293531;-0.235615640878677;0.39;0.03;4.5;0.0;104.08163265306123
Maroc;66.1699746542957;9.17667;3829.963407;-0.367761224508286;0.33;0.08;29.18;1.2711864406779663;98.87005649717514
Maurice;41.082673517652495;11.586328;11304.383585;0.775418817996979;0.07;1.95;95.1;6.349206349206349;93.65079365079364
Mauritanie;59.27968093602294;8.185926;2120.825175;-0.503423988819122;1.92;0.0;1.16;91.22807017543859;8.771929824561402
Mexique;86.9789106051908;21.259077;13826.130918;-0.630761027336121;0.72;0.06;13.7;22.013583699560527;78.04634438673592
Micronésie (États fédérés de);22.908638906152888;6.485696;4084.151273;1.0807785987854;0.61;0.38;9.13;100.0;0.0
Mongolie;67.03160202474874;14.346003;5790.372735;0.592669785022736;7.93;0.0;0.14;100.0;0.0
Monténégro;67.99836477510922;17.097442;11884.641566;0.0693022906780243;0.56;0.03;10.37;85.71428571428571;14.285714285714285
Mozambique;40.47732789140887;7.736068;622.985625;-1.26869130134583;0.14;0.0;9.53;23.414634146341466;76.58536585365854
Myanmar;33.31154041694987;-5.388618;1146.85427;-2.12527012825012;0.52;0.1;11.13;0.0;100.0
Namibie;52.98773748394837;-4.1563;4168.285136;0.54477721452713;1.99;0.0;1.85;108.69565217391303;52.17391304347826
Nauru;94.82947368421053;2.815212;14811.516928;0.976578056812286;0.13;0.13;7.62;100.0;0.0
Nicaragua;57.945226377873425;12.373413;2612.869151;-0.125550046563148;1.78;0.06;6.29;8.938547486033519;91.06145251396647
Niger;17.583178079613326;5.443712;642.937918;-1.66885960102081;1.36;0.0;1.47;20.0;80.0
Nigéria;52.964348428970844;-22.704834;1645.510861;-1.7684383392334;0.29;0.03;7.76;0.3076923076923077;99.6923076923077
Norvège;85.27998880990555;-19.183912;87931.896897;0.892857432365417;0.63;0.17;11.89;2.5210084033613445;98.31932773109243
Nouvelle-Zélande;83.32738559660503;1.642965;48749.951885;1.35856962203979;7.36;0.03;2.22;0.4524886877828055;104.07239819004526
Népal;23.019272114464933;1.919768;1363.336119;-0.226184993982315;0.51;0.17;10.28;0.0;100.0
Oman;95.23340903406017;-9.693163;20972.483089;0.586623668670654;0.38;0.03;5.51;132.89473684210526;9.210526315789473
Ouganda;28.513089107888977;4.675027;1048.625379;-0.69550609588623;0.59;0.03;4.3;0.0;101.0989010989011
Ouzbékistan;48.79619150592415;9.772842;2549.320281;-0.154609963297844;1.01;0.04;7.48;38.095238095238095;62.27106227106227
Pakistan;33.736969504331626;-9.230955;1211.550428;-1.93273079395294;0.78;0.52;22.44;0.0;100.27790643816581
Panama;69.7711852109522;7.547456;18700.808902;0.213101848959923;0.76;0.14;19.77;6.746031746031746;93.65079365079364
Papouasie-Nouvelle-Guinée;12.242326125989988;-3.62566;2985.686759;-0.478844821453094;0.12;0.03;8.9;82.92682926829268;17.073170731707318
Paraguay;67.48374450223592;1.137181;6276.195174;0.0820416286587715;4.07;0.01;2.48;1.5151515151515151;118.18181818181819
Pays-Bas (Royaume des);89.22571554969335;9.155773;63803.219136;0.658281981945038;0.89;0.52;13.15;202.9279279279279;194.36936936936937
Philippines;48.121755609844406;7.237831;3804.872564;-0.566050469875336;0.13;0.15;22.41;16.086235489220563;84.85351022664456
Pologne;58.45318780015213;15.198358;20875.67951;0.559584558010101;0.54;0.13;23.54;6.1688311688311686;223.86363636363637
