Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","598","Papouasie-Nouvelle-Guinée","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","4751","E","Valeur estimée",""
"QCL","Cultures et produits animaux","600","Paraguay","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","28093","E","Valeur estimée",""
"QCL","Cultures et produits animaux","528","Pays-Bas (Royaume des)","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","93004","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","604","Pérou","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","191696","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","608","Philippines","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","191203","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","616","Pologne","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","195145","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","258","Polynésie française","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","337","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","630","Porto Rico","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","4670","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","620","Portugal","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","44098","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","634","Qatar","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","32038","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","760","République arabe syrienne","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","15490","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","140","République centrafricaine","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","6894","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","410","République de Corée","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","182127","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","498","République de Moldova","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","46855","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","180","République démocratique du Congo","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","19002","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","418","République démocratique populaire lao","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","51973","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","214","République dominicaine","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","209153","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","408","République populaire démocratique de Corée","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","12016","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","834","République-Unie de Tanzanie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","33252","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","642","Roumanie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","74068","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","826","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","170233","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","646","Rwanda","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","2210","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","662","Sainte-Lucie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","478","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","659","Saint-Kitts-et-Nevis","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","32","E","Valeur estimée",""
"QCL","Cultures et produits animaux","670","Saint-Vincent-et-les Grenadines","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","244","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","882","Samoa","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","441","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","678","Sao Tomé-et-Principe","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","213","E","Valeur estimée",""
"QCL","Cultures et produits animaux","686","Sénégal","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","94322","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","688","Serbie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","13913","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","690","Seychelles","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","265","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","694","Sierra Leone","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","25691","E","Valeur estimée",""
"QCL","Cultures et produits animaux","702","Singapour","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","2260","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","703","Slovaquie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","9815","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","705","Slovénie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","4059","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","706","Somalie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","3952","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","729","Soudan","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","52852","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","728","Soudan du Sud","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","42916","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","144","Sri Lanka","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","18065","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","752","Suède","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","25729","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","756","Suisse","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","13152","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","740","Suriname","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","5022","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","762","Tadjikistan","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","10647","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","148","Tchad","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","6151","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","203","Tchéquie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","21794","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","764","Thaïlande","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","289612","E","Valeur estimée",""
"QCL","Cultures et produits animaux","626","Timor-Leste","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","657","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","768","Togo","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","35588","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","776","Tonga","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","346","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","780","Trinité-et-Tobago","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","41024","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","788","Tunisie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","100559","E","Valeur estimée",""
"QCL","Cultures et produits animaux","792","Türkiye","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","368624","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","795","Turkménistan","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","21429","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","798","Tuvalu","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","57","E","Valeur estimée",""
"QCL","Cultures et produits animaux","804","Ukraine","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","165468","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","858","Uruguay","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","49779","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","548","Vanuatu","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","395","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","862","Venezuela (République bolivarienne du)","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","125614","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","704","Viet Nam","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","457221","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","887","Yémen","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","69324","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","894","Zambie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","41089","E","Valeur estimée",""
"QCL","Cultures et produits animaux","716","Zimbabwe","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","17510","A","Chiffre officiel",""
