Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EK","Tendances dans l’élevage","076","Brésil","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","15775700","E","Valeur estimée"
"EK","Tendances dans l’élevage","096","Brunéi Darussalam","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","15.77","E","Valeur estimée"
"EK","Tendances dans l’élevage","096","Brunéi Darussalam","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","99.1","E","Valeur estimée"
"EK","Tendances dans l’élevage","096","Brunéi Darussalam","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","211310","E","Valeur estimée"
"EK","Tendances dans l’élevage","854","Burkina Faso","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","854","Burkina Faso","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","3.91","E","Valeur estimée"
"EK","Tendances dans l’élevage","854","Burkina Faso","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","329770","E","Valeur estimée"
"EK","Tendances dans l’élevage","108","Burundi","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","108","Burundi","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","2.21","E","Valeur estimée"
"EK","Tendances dans l’élevage","108","Burundi","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","30570","E","Valeur estimée"
"EK","Tendances dans l’élevage","132","Cabo Verde","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.08","E","Valeur estimée"
"EK","Tendances dans l’élevage","132","Cabo Verde","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","11.43","E","Valeur estimée"
"EK","Tendances dans l’élevage","132","Cabo Verde","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","6710","E","Valeur estimée"
"EK","Tendances dans l’élevage","116","Cambodge","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","116","Cambodge","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","4.54","E","Valeur estimée"
