Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","112","Bélarus","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","7554.508","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","056","Belgique","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","11712.893","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","056","Belgique","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","212.749","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","056","Belgique","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","11535.808","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","084","Belize","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","411.106","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","084","Belize","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","224.893","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","084","Belize","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","196.317","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","204","Bénin","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","14111.034","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","204","Bénin","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","6546.285","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","204","Bénin","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","6572.44","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","060","Bermudes","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","64.698","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","060","Bermudes","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","0","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","060","Bermudes","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","60.256","X","Chiffre de source externe",""
